specs/tla/alpenglow/Blocks.tla	47	Block	20	specs/tla/alpenglow/VotorCore.tla:29:    DeltaBlock      \* Block time parameter (Def. 17; e.g., 400ms)
specs/tla/alpenglow/Blocks.tla	60	GenesisBlock	3	specs/tla/alpenglow/MainProtocol.tla:174:    /\ blocks = {GenesisBlock}
specs/tla/alpenglow/Blocks.tla	71	IsGenesis	2	specs/tla/alpenglow/Blocks.tla:91:    /\ (b.slot = 0 => IsGenesis(b))      \* If slot is 0, it must be the (unique) genesis shape
specs/tla/alpenglow/Blocks.tla	85	IsValidBlock	9	specs/tla/alpenglow/VotorCore.tla:463:        IsValidBlock(b) => IsValidVote(CreateNotarVoteForBlock(v, b))
specs/tla/alpenglow/Blocks.tla	101	ConflictingBlocks	1	
specs/tla/alpenglow/Blocks.tla	112	ValidParentChild	3	specs/tla/alpenglow/Blocks.tla:82:\* - Parent existence and slot ordering are enforced by ValidParentChild and
specs/tla/alpenglow/Blocks.tla	128	CreateNotarVoteForBlock	5	specs/tla/alpenglow/VotorCore.tla:215:            LET vote == CreateNotarVoteForBlock(validator.id, block)
specs/tla/alpenglow/Blocks.tla	142	CreateNotarFallbackVoteForBlock	3	specs/tla/alpenglow/VotorCore.tla:367:            LET vote == CreateNotarFallbackVoteForBlock(skipResult.id, b)
specs/tla/alpenglow/Blocks.tla	165	IsAncestor	5	specs/tla/alpenglow/Blocks.tla:182:    IsAncestor(b2, b1, allBlocks)
specs/tla/alpenglow/Blocks.tla	181	IsDescendant	1	
specs/tla/alpenglow/Blocks.tla	186	GetAncestors	5	specs/tla/alpenglow/Blocks.tla:160: *   ancestors operationally (FinalizeBlock unions GetAncestors).
specs/tla/alpenglow/Blocks.tla	190	ComparableByAncestry	2	specs/tla/alpenglow/Blocks.tla:197:    ComparableByAncestry(b1, b2, allBlocks)
specs/tla/alpenglow/Blocks.tla	196	InSameChain	2	specs/tla/alpenglow/Blocks.tla:309:        InSameChain(b1, b2, finalizedBlocks)
specs/tla/alpenglow/Blocks.tla	211	WindowIndex	5	specs/tla/alpenglow/MC.tla:23:\* WindowIndex(0) = 0; WindowIndex(1) = 0; WindowIndex(2) = 0.
specs/tla/alpenglow/Blocks.tla	216	Leader	15	specs/tla/alpenglow/Rotor.tla:10: *       • Leader encodes each slice into Γ shreds with a Merkle tree; any γ
